model_number,product_name,filename,image_url,product_page_url
SMCO210V,10-Year Battery 2-in 1 Smoke and Carbon Monoxide Alarm with Voice Alerts,firstalert_SMCO210V.jpg,https://www.firstalert.com/cdn/shop/files/SMCO210V_c1-6_d35ba044-596e-4df5-af41-e0e41b5e8066.jpg?v=1785551891,https://www.firstalert.com/products/10-year-battery-2-in-1-smoke-carbon-monoxide-alarm-with-voice-alerts?variant=52529094131986
GCO1,Combination Explosive Gas and Carbon Monxide Alarm with Backlit Digital Display,firstalert_GCO1.jpg,https://www.firstalert.com/cdn/shop/files/GCO1CN_Front_900x900px_2651bb90-a614-492c-b122-09e133f8d7bc.jpg?v=1785810925,https://www.firstalert.com/products/combination-explosive-gas-and-carbon-monoxide-alarm-with-backlit-digital-display?variant=51390590091538
CO606,Plug-In Carbon Monoxide Alarm with Battery Backup,firstalert_CO606.jpg,https://www.firstalert.com/cdn/shop/files/CO600_Front_900x900px_4c195e21-bbc8-4f8f-8373-1185feb20734.jpg?v=1784601366,https://www.firstalert.com/products/carbon-monoxide-plug-in-alarm-with-battery-backup?variant=51390589174034
SMI110,10-Year Battery Smoke Alarm,firstalert_SMI110.jpg,https://www.firstalert.com/cdn/shop/files/SMI110_c1-6_1c9d49c9-f8d6-4323-be78-8b23e0018304.jpg?v=1785551719,https://www.firstalert.com/products/10-year-battery-smoke-alarm?variant=51390591205650
SM100V-AC,Interconnect Hardwire Smoke Alarm with Voice Alerts,firstalert_SM100V-AC.jpg,https://www.firstalert.com/cdn/shop/files/SM100V-AC_c1-6_d0b12d2d-9694-48f2-be8a-a42aeaba0610.jpg?v=1783738714,https://www.firstalert.com/products/interconnect-hardwire-smoke-alarm-with-battery-backup-voice-alerts?variant=51390590320914
CO710,Carbon Monoxide Alarm with 10-Year Battery and Digital Temperature Display,firstalert_CO710.jpg,https://www.firstalert.com/cdn/shop/files/CO710_Front_900x900px-Rev_68f12ef4-b490-4712-8e2d-256eaa12be3b.jpg?v=1784601291,https://www.firstalert.com/products/carbon-monoxide-alarm-with-10-year-battery-and-digital-temperature-display?variant=51390589468946
CO615,Plug-In Carbon Monoxide Alarm with Battery Backup and Digital Display,firstalert_CO615.jpg,https://www.firstalert.com/cdn/shop/files/CO615_Front_900x900px.jpg?v=1785465235,https://www.firstalert.com/products/dual-power-carbon-monoxide-plug-in-alarm-with-battery-backup-and-digital-display?variant=51390589272338
CO400,Battery Powered Carbon Monoxide Alarm,firstalert_CO400.jpg,https://www.firstalert.com/cdn/shop/files/CO400_Front_900x900px_b9bddb3d-250a-4a44-ad96-f349b0444127.jpg?v=1784601320,https://www.firstalert.com/products/battery-operated-carbon-monoxide-alarm?variant=51390588748050
FE1A10GR,Rechargeable Home Fire Extinguisher UL Rated 1-A:10-B:C,firstalert_FE1A10GR.jpg,https://www.firstalert.com/cdn/shop/files/Home1_FE1A10GR_Angle_900x900px_9aec8d22-5c84-42c7-af89-b37557607839.jpg?v=1783738355,https://www.firstalert.com/products/rechargeable-home-fire-extinguisher-ul-rated-1-a-10-b-c-1?variant=51390589632786
FE2A10GR,Rechargeable Compliance Fire Extinguisher UL Rated 2-A:10-B:C,firstalert_FE2A10GR.jpg,https://www.firstalert.com/cdn/shop/files/Home2Pro-Fire_Extinguisher.jpg?v=1785292467,https://www.firstalert.com/products/rechargeable-compliance-fire-extinguisher-ul-rated-2-a-10-b-c?variant=51390589731090
AF400,AF400 EZ Fire Spray,firstalert_AF400.jpg,https://www.firstalert.com/cdn/shop/files/AF400CP_c1-6.jpg?v=1785810903,https://www.firstalert.com/products/ez-fire-spray?variant=51390588616978
FE3A40GR,Heavy Duty Plus Rechargeable Fire Extinguisher UL Rated 3-A:40-B:C,firstalert_FE3A40GR.jpg,https://www.firstalert.com/cdn/shop/files/Pro5_Front_4ffe4da7-95a0-4d3c-911f-3e52f8e6fe87.jpg?v=1785811030,https://www.firstalert.com/products/heavy-duty-fire-extinguisher-ul-rated-3-a-40-b-c?variant=51390589960466
1047153,Two-Story Fire Escape Ladder - Steel and Anti-Slip,firstalert_1047153.jpg,https://www.firstalert.com/cdn/shop/files/EL52-Two-Story-Fire-Escape-Ladder.jpg?v=1783738376,https://www.firstalert.com/products/two-story-fire-escape-ladder-steel-and-anti-slip?variant=51388198027538
KFE2S5,Kitchen Fire Extinguisher UL Rated 5-B:C,firstalert_KFE2S5.jpg,https://www.firstalert.com/cdn/shop/files/Kitchen5_KFE2S5_AngleNoCap_900x900px_3a705686-1904-4b3b-97e1-847571469195.jpg?v=1785810995,https://www.firstalert.com/products/kitchen-fire-extinguisher-ul-rated-5-b-c?variant=51388203696402
SMCO410,Z-Wave Plus Smart Smoke and Carbon Monxide Alarm Works with Ring,firstalert_SMCO410.jpg,https://www.firstalert.com/cdn/shop/files/SMCO410_c1-6.jpg?v=1783738790,https://www.firstalert.com/products/z-wave-plus-smart-smoke-carbon-monoxide-alarm-works-with-ring?variant=51388206743826
RD1,Home Radon Test Kit,firstalert_RD1.jpg,https://www.firstalert.com/cdn/shop/files/RD1_Front_900x900px.jpg?v=1783738031,https://www.firstalert.com/products/home-radon-test-kit?variant=51388204646674
SM210_CO3-B01,10-Year Battery Smoke Alarm & Plug-In Carbon Monoxide Alarm with Battery Backup Safety Value Pack,firstalert_SM210_CO3-B01.jpg,https://www.firstalert.com/cdn/shop/files/SM210_CO3-P01_c1-6_492bf01b-f663-4160-af17-f4e6e933c43c.jpg?v=1784169381,https://www.firstalert.com/products/10-year-battery-smoke-alarm-plug-in-carbon-monoxide-alarm-with-battery-backup-safety-value-pack?variant=52517363777810
SM2-B10,10-Year Battery Smoke Alarm,firstalert_SM2-B10.jpg,https://www.firstalert.com/cdn/shop/files/SM2-B10_c1-6_d28be70e-1a8d-4132-9e66-d66258ab7b2c.jpg?v=1784255686,https://www.firstalert.com/products/10-year-battery-smoke-alarm-1?variant=52511917342994
SC2-W10,Hardwire Combination Smoke & Carbon Monoxide Alarm with 10-Year Battery Backup,firstalert_SC2-W10.jpg,https://www.firstalert.com/cdn/shop/files/SC2-W10_c1-6.jpg?v=1784083195,https://www.firstalert.com/products/hardwire-combination-smoke-carbon-monoxide-alarm-with-10-year-battery-backup?variant=52511916753170
SC2-W01,Hardwire Combination Smoke & Carbon Monoxide Alarm with Battery Backup,firstalert_SC2-W01.jpg,https://www.firstalert.com/cdn/shop/files/SC2-W01_c1-6_943f251e-0759-4394-b076-fbd0ce2a7d24.jpg?v=1784083186,https://www.firstalert.com/products/hardwire-combination-smoke-carbon-monoxide-alarm-with-battery-backup?variant=52511916720402
SM2-W10,Hardwire Smoke Alarm with 10-Year Battery Backup,firstalert_SM2-W10.jpg,https://www.firstalert.com/cdn/shop/files/SM2-W10_c1-6.jpg?v=1784083179,https://www.firstalert.com/products/hardwire-smoke-alarm-with-10-year-battery-backup?variant=52511917408530
SM2-W01,Hardwire Smoke Alarm with Battery Backup,firstalert_SM2-W01.jpg,https://www.firstalert.com/cdn/shop/files/SM2-W01_c1-6_01c1007c-56be-434d-b37d-12dd6793b2de.jpg?v=1784083171,https://www.firstalert.com/products/hardwire-smoke-alarm-with-battery-backup?variant=52423048036626
SM2-B01,Battery-Operated Smoke Alarm,firstalert_SM2-B01.jpg,https://www.firstalert.com/cdn/shop/files/SM2-B01_c3-6_67f5e770-1e9e-46cc-925a-d090c52e193b.jpg?v=1784169364,https://www.firstalert.com/products/battery-operated-smoke-alarm-1?variant=52423047971090
SC2-B10,10-Year Battery Combination Smoke & Carbon Monoxide Alarm,firstalert_SC2-B10.jpg,https://www.firstalert.com/cdn/shop/files/SC2-B10_c1-6.jpg?v=1784169354,https://www.firstalert.com/products/10-year-battery-combination-smoke-carbon-monoxide-alarm?variant=52423047905554
SC2-B01,Battery-Operated Combination Smoke & Carbon Monoxide Alarm,firstalert_SC2-B01.jpg,https://www.firstalert.com/cdn/shop/files/SC2-B01_c1-6_08a6c43a-9bfb-4b9c-864c-89a0f17deb21.jpg?v=1784255678,https://www.firstalert.com/products/battery-operated-combination-smoke-carbon-monoxide-alarm?variant=52423047872786
CO5-B10D,Carbon Monoxide Alarm with 10-Year Battery & Digital Temperature Display,firstalert_CO5-B10D.jpg,https://www.firstalert.com/cdn/shop/files/CO5-B10D-c1-6_f349f551-4ac9-4716-9693-ed3556c03469.jpg?v=1784083125,https://www.firstalert.com/products/carbon-monoxide-alarm-with-10-year-battery-digital-temperature-display?variant=52261542363410
CO3-P01D,Plug-In Carbon Monoxide Alarm with Battery Backup & Digital Display,firstalert_CO3-P01D.jpg,https://www.firstalert.com/cdn/shop/files/CO3-P01D-c1-6_e4748650-6ba3-494f-8fd6-b97ff18c7b29.jpg?v=1784083102,https://www.firstalert.com/products/plug-in-carbon-monoxide-alarm-with-battery-backup-digital-display?variant=52261542297874
CO3-P01,Plug-In Carbon Monoxide Alarm with Battery Backup,firstalert_CO3-P01.jpg,https://www.firstalert.com/cdn/shop/files/CO3-P01-c1-6.jpg?v=1784255669,https://www.firstalert.com/products/plug-in-carbon-monoxide-alarm-with-battery-backup?variant=52261542232338
CO3-B01D,Battery-Operated Carbon Monoxide Alarm with Backlit Digital Display,firstalert_CO3-B01D.jpg,https://www.firstalert.com/cdn/shop/files/CO3-B01D-c1-6_de8b9d7d-0f0e-475a-8ef2-3c110f52d539.jpg?v=1784083110,https://www.firstalert.com/products/battery-operated-carbon-monoxide-alarm-with-backlit-digital-display-1?variant=52261542166802
CO3-B01,Battery-Operated Carbon Monoxide Alarm,firstalert_CO3-B01.jpg,https://www.firstalert.com/cdn/shop/files/CO3-B01-c1-6_053d38d5-1e18-435d-b1af-3169ee32f379.jpg?v=1784169344,https://www.firstalert.com/products/battery-operated-carbon-monoxide-alarm-1?variant=52172157714706
SMCO110V-AC,Hardwire Smoke & Carbon Monoxide Alarm with 10-Year Battery Backup & Voice Alerts,firstalert_SMCO110V-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMCO110V-AC_c1-6_2be8333c-f0cc-43fd-8397-e43b08969c8f.jpg?v=1783738775,https://www.firstalert.com/products/smco110v-ac-hardwire-smoke-carbon-monoxide-alarm-with-10-year-battery-backup-voice-alerts?variant=52039415005458
1047154,Three-Story Portable Fire Escape Ladder - 24 Feet,firstalert_1047154.jpg,https://www.firstalert.com/cdn/shop/files/EL53W-Three-Story-Fire-Escape-Ladder.jpg?v=1783738383,https://www.firstalert.com/products/three-story-portable-fire-escape-ladder-24-feet?variant=51388198060306
BRACKET2,Heavy Duty Bracket for 2.5-Pound Fire Extinguishers,firstalert_BRACKET2.jpg,https://www.firstalert.com/cdn/shop/files/Bracket2_Angle_900x900px_33fae7fe-f50c-4659-a015-a006d3c270eb.jpg?v=1783996461,https://www.firstalert.com/products/small-fire-extinguisher-mounting-bracket?variant=51388201140498
SMI100RV,RV Approved Battery-Operated Smoke Alarm,firstalert_SMI100RV.jpg,https://www.firstalert.com/cdn/shop/files/SMI100RV_c1-6.jpg?v=1783738557,https://www.firstalert.com/products/rv-approved-battery-operated-smoke-alarm?variant=51388207104274
